,State,Year,Quater,Transaction_area,Registered_Users
2217,haryana,2018,1,panipat,74739
2218,haryana,2018,1,karnal,73612
2219,haryana,2018,1,sirsa,70800
2220,haryana,2018,1,rohtak,62452
2221,haryana,2018,1,bhiwani,57585
2222,haryana,2018,2,gurugram,621718
2223,haryana,2018,2,faridabad,306358
2224,haryana,2018,2,hisar,147599
2225,haryana,2018,2,rewari,113056
2226,haryana,2018,2,sonipat,106837
2227,haryana,2018,2,panipat,101243
2228,haryana,2018,2,karnal,98276
2229,haryana,2018,2,sirsa,91908
2230,haryana,2018,2,rohtak,82822
2231,haryana,2018,2,bhiwani,75485
2232,haryana,2018,3,gurugram,767369
2233,haryana,2018,3,faridabad,383316
2234,haryana,2018,3,hisar,176380
2235,haryana,2018,3,rewari,138368
2236,haryana,2018,3,sonipat,132705
2237,haryana,2018,3,panipat,124290
2238,haryana,2018,3,karnal,121471
2239,haryana,2018,3,sirsa,109165
2240,haryana,2018,3,rohtak,101649
2241,haryana,2018,3,ambala,92472
2242,haryana,2018,4,gurugram,967781
2243,haryana,2018,4,faridabad,521996
2244,haryana,2018,4,hisar,210671
2245,haryana,2018,4,rewari,172035
2246,haryana,2018,4,sonipat,165599
2247,haryana,2018,4,panipat,153137
2248,haryana,2018,4,karnal,149062
2249,haryana,2018,4,sirsa,127874
2250,haryana,2018,4,rohtak,124365
2251,haryana,2018,4,jhajjar,114488
2252,haryana,2019,1,gurugram,1159832
2253,haryana,2019,1,faridabad,634024
2254,haryana,2019,1,hisar,245236
2255,haryana,2019,1,rewari,207051
2256,haryana,2019,1,sonipat,199593
2257,haryana,2019,1,panipat,181548
2258,haryana,2019,1,karnal,177042
2259,haryana,2019,1,rohtak,147392
2260,haryana,2019,1,sirsa,146936
2261,haryana,2019,1,palwal,141953
2262,haryana,2019,2,gurugram,1307319
2263,haryana,2019,2,faridabad,716593
2264,haryana,2019,2,hisar,277720
2265,haryana,2019,2,rewari,238349
2266,haryana,2019,2,sonipat,230883
2267,haryana,2019,2,panipat,208172
2268,haryana,2019,2,karnal,204255
2269,haryana,2019,2,rohtak,169372
2270,haryana,2019,2,palwal,165665
2271,haryana,2019,2,sirsa,163468
2272,haryana,2019,3,gurugram,1447473
2273,haryana,2019,3,faridabad,792884
2274,haryana,2019,3,hisar,308179
2275,haryana,2019,3,rewari,266893
2276,haryana,2019,3,sonipat,261554
2277,haryana,2019,3,panipat,235346
2278,haryana,2019,3,karnal,230603
2279,haryana,2019,3,rohtak,190137
2280,haryana,2019,3,palwal,188217
2281,haryana,2019,3,jhajjar,185095
2282,haryana,2019,4,gurugram,1574240
2283,haryana,2019,4,faridabad,862595
2284,haryana,2019,4,hisar,339753
2285,haryana,2019,4,rewari,294161
2286,haryana,2019,4,sonipat,291479
2287,haryana,2019,4,panipat,262435
2288,haryana,2019,4,karnal,255280
2289,haryana,2019,4,rohtak,209750
2290,haryana,2019,4,palwal,209434
2291,haryana,2019,4,jhajjar,206377
2292,haryana,2020,1,gurugram,1700505
2293,haryana,2020,1,faridabad,935992
2294,haryana,2020,1,hisar,382469
2295,haryana,2020,1,sonipat,325111
2296,haryana,2020,1,rewari,323001
2297,haryana,2020,1,panipat,293916
2298,haryana,2020,1,karnal,283270
2299,haryana,2020,1,palwal,233542
2300,haryana,2020,1,rohtak,231317
2301,haryana,2020,1,jhajjar,230059
2302,haryana,2020,2,gurugram,1809777
2303,haryana,2020,2,faridabad,1010271
2304,haryana,2020,2,hisar,417164
2305,haryana,2020,2,sonipat,362890
2306,haryana,2020,2,rewari,354024
2307,haryana,2020,2,panipat,324833
2308,haryana,2020,2,karnal,313828
2309,haryana,2020,2,palwal,259528
2310,haryana,2020,2,jhajjar,256581
2311,haryana,2020,2,rohtak,254647
2312,haryana,2020,3,gurugram,1949331
2313,haryana,2020,3,faridabad,1094570
2314,haryana,2020,3,hisar,453910
2315,haryana,2020,3,sonipat,402001
2316,haryana,2020,3,rewari,388025
2317,haryana,2020,3,panipat,357830
2318,haryana,2020,3,karnal,344289
2319,haryana,2020,3,palwal,285223
2320,haryana,2020,3,jhajjar,284852
2321,haryana,2020,3,rohtak,280325
2322,haryana,2020,4,gurugram,2104240
2323,haryana,2020,4,faridabad,1182635
2324,haryana,2020,4,hisar,490971
2325,haryana,2020,4,sonipat,441088
